aback	AH B AE K
jeffersonian	JH EH F ER S OW N IY AH N
jell	JH EH L
jelled	JH EH L D
jellied	JH EH L IY D
jellies	JH EH L IY Z
jelly	JH EH L IY
jeopardize	JH EH P ER D AY Z
jeopardized	JH EH P ER D AY Z D
jeopardizes	JH EH P ER D AY Z IH Z
jeopardizing	JH EH P ER D AY Z IH NG
jerk	JH ER K
jerked	JH ER K T
jerking	JH ER K IH NG
jerks	JH ER K S
jerky	JH ER K IY
jest	JH EH S T
jests	JH EH S T S
jesuit	JH EH ZH UW IH T
jet	JH EH T
jeter	JH IY T ER
jets	JH EH T S
jetted	JH EH T IH D
jetting	JH EH T IH NG
jettison	JH EH T IH S AH N
jettisoned	JH EH T IH S AH N D
jettisoning	JH EH T AH S AH N IH NG
jewish	JH UW IH SH
jib	JH IH B
jibe	JH AY B
jibes	JH AY B Z
jig	JH IH G
jiggle	JH IH G AH L
jigs	JH IH G Z
jilt	JH IH L T
jilted	JH IH L T IH D
jimmied	JH IH M IY D
jimmy	JH IH M IY
jingle	JH IH NG G AH L
jingles	JH IH NG G AH L Z
jingoistic	JH IH NG G OW IH S T IH K
jinx	JH IH NG K S
jitterbug	JH IH T ER B AH G
jitterbugging	JH IH T ER B AH G IH NG
jittery	JH IH T ER IY
jive	JH AY V
jiving	JH AY V IH NG
jobes	JH OW B Z
jobless	JH AA B L AH S
jobs	JH AA B Z
jockey	JH AA K IY
jockeying	JH AA K IY IH NG
jockeys	JH AA K IY Z
jocular	JH AA K Y AH L ER
jog	JH AA G
jogged	JH AA G D
jogs	JH AA G Z
join	JH OY N
joined	JH OY N D
joines	JH OY N Z
joining	JH OY N IH NG
joins	JH OY N Z
joint	JH OY N T
jointly	JH OY N T L IY
joints	JH OY N T S
joke	JH OW K
joked	JH OW K T
jokes	JH OW K S
joking	JH OW K IH NG
jokingly	JH OW K IH NG L IY
jollier	JH AA L IY ER
jollies	JH AA L IY Z
jolliest	JH AA L IY AH S T
jolly	JH AA L IY
jollying	JH AA L IY IH NG
jolt	JH OW L T
jolted	JH OW L T IH D
jolting	JH OW L T IH NG
jolts	JH OW L T S
jordanian	JH AO R D EY N IY AH N
josh	JH AA SH
jostle	JH AA S AH L
jostled	JH AA S AH L D
jot	JH AA T
jotted	JH AA T IH D
journalistic	JH ER N AH L IH S T IH K
journey	JH ER N IY
journeyed	JH ER N IY D
journeying	JH ER N IY IH NG
journeys	JH ER N IY Z
joust	JH AW S T
jousting	JH AW S T IH NG
jovial	JH OW V IY AH L
jovian	JH OW V IY AH N
jowly	JH AW L IY
joy	JH OY
joyful	JH OY F AH L
joyfully	JH OY F AH L IY
joying	JH OY IH NG
joyous	JH OY AH S
joyride	JH OY R AY D
joyriding	JH OY R AY D IH NG
joys	JH OY Z
jubilant	JH UW B AH L AH N T
judge	JH AH JH
judged	JH AH JH D
judges	JH AH JH IH Z
judging	JH AH JH IH NG
judicial	JH UW D IH SH AH L
judicially	JH UW D IH SH AH L IY
judicious	JH UW D IH SH AH S
judiciously	JH UW D IH SH IH S L IY
jug	JH AH G
juggle	JH AH G AH L
juggled	JH AH G AH L D
juggles	JH AH G AH L Z
jugs	JH AH G Z
jugular	JH UW G Y AH L ER
juicier	JH UW IH S Y ER
juiciest	JH UW S IY AH S T
juicy	JH UW S IY
jumble	JH AH M B AH L
jumbled	JH AH M B AH L D
jumbo	JH AH M B OW
jump	JH AH M P
jumped	JH AH M P T
jumping	JH AH M P IH NG
jumps	JH AH M P S
jumpstart	JH AH M P S T AA R T
jumpstarts	JH AH M P S T AA R T S
jumpy	JH AH M P IY
junior	JH UW N Y ER
junk	JH AH NG K
junked	JH AH NG K T
junket	JH AH NG K IH T
junkets	JH AH NG K IH T S
junking	JH AH NG K IH NG
jurassic	JH UH R AE S IH K
jurisdictional	JH UH R AH S D IH K SH AH N AH L
juster	JH AH S T ER
justifiable	JH AH S T AH F AY AH B AH L
justifiably	JH AH S T AH F AY AH B L IY
justified	JH AH S T AH F AY D
justifies	JH AH S T AH F AY Z
justify	JH AH S T AH F AY
justifying	JH AH S T AH F AY IH NG
justly	JH AH S T L IY
jut	JH AH T
juts	JH AH T S
jutting	JH AH T IH NG
juxtapose	JH AH K S T AH P OW Z
juxtaposed	JH AH K S T AH P OW Z D
juxtaposes	JH AH K S T AH P OW Z IH Z
juxtaposing	JH AH K S T AH P OW Z IH NG
k	K EY
kafkaesque	K AA F K AH EH S K
kantian	K AE N T IY AH N
kashmiri	K AE SH M IY R IY
kayak	K AY AE K
kayaking	K AY AE K IH NG
kayaks	K AY AE K S
kayo	K EY OW
keel	K IY L
keeling	K IY L IH NG
keels	K IY L Z
keen	K IY N
keener	K IY N ER
keenest	K IY N AH S T
keenly	K IY N L IY
keep	K IY P
keeping	K IY P IH NG
keeps	K IY P S
kennel	K EH N AH L
kennels	K EH N AH L Z
ker	K ER
kern	K ER N
kernes	K ER N Z
kerns	K ER N Z
kester	K EH S T ER
key	K IY
keyed	K IY D
keyes	K IY Z
keying	K IY IH NG
keyless	K IY L AH S
keynesian	K EY N Z IY AH N
keynote	K IY N OW T
keynotes	K IY N OW T S
keys	K IY Z
kick	K IH K
kicked	K IH K T
kicking	K IH K IH NG
kicks	K IH K S
kid	K IH D
kidded	K IH D IH D
kidding	K IH D IH NG
kidnap	K IH D N AE P
kidnaped	K IH D N AE P T
kidnaping	K IH D N AE P IH NG
kidnapped	K IH D N AE P T
kidnapping	K IH D N AE P IH NG
kidnaps	K IH D N AE P S
kids	K IH D Z
kill	K IH L
killed	K IH L D
killing	K IH L IH NG
killinger	K IH L IH NG ER
killings	K IH L IH NG Z
kills	K IH L Z
kin	K IH N
kind	K AY N D
kinda	K IH N D AH
kinder	K AY N D ER
kindest	K AY N D AH S T
kindle	K IH N D AH L
kindled	K IH N D AH L D
kindling	K IH N D L IH NG
kindly	K AY N D L IY
kindred	K IH N D R IH D
kiner	K AY N ER
kinesthetic	K IH N AH S TH EH T IH K
kingly	K IH NG L IY
kinks	K IH NG K S
kinky	K IH NG K IY
kip	K IH P
kiss	K IH S
kissed	K IH S T
kissing	K IH S IH NG
kit	K IH T
kite	K AY T
kites	K AY T S
kiting	K AY T IH NG
kits	K IH T S
kitten	K IH T AH N
kittens	K IH T AH N Z
knead	N IY D
kneading	N IY D IH NG
kneecap	N IY K AE P
kneecaps	N IY K AE P S
kneel	N IY L
kneeling	N IY L IH NG
knell	N EH L
knelt	N EH L T
knife	N AY F
knifed	N AY F T
knifelike	N AY F L AY K
knifing	N AY F IH NG
knifings	N AY F IH NG Z
knight	N AY T
knighted	N AY T IH D
knightly	N AY T L IY
knights	N AY T S
knit	N IH T
knits	N IH T S
knitting	N IH T IH NG
knobby	N AA B IY
knock	N AA K
knockdown	N AA K D AW N
knocked	N AA K T
knocking	N AA K IH NG
knockout	N AA K AW T
knocks	N AA K S
knot	N AA T
knots	N AA T S
knotted	N AA T IH D
knotty	N AA T IY
know	N OW
knowed	N OW D
knowing	N OW IH NG
knowingly	N OW IH NG L IY
knowledgeable	N AA L AH JH AH B AH L
known	N OW N
knows	N OW Z
knuckle	N AH K AH L
knuckled	N AH K AH L D
knuckles	N AH K AH L Z
kooky	K UW K IY
koranic	K AO R AE N IH K
kosher	K OW SH ER
kurdish	K ER D IH SH
kuwaiti	K UW W EY T IY
l	EH L
label	L EY B AH L
labeled	L EY B AH L D
labelled	L EY B AH L D
labels	L EY B AH L Z
labor	L EY B ER
labored	L EY B ER D
laboring	L EY B ER IH NG
laborious	L AH B AO R IY AH S
laboriously	L AH B AO R IY AH S L IY
labors	L EY B ER Z
labyrinthine	L AE B ER IH N TH IY N
lace	L EY S
laced	L EY S T
lacerate	L AE S ER EY T
lack	L AE K
lackadaisical	L AE K AH D EY Z IH K AH L
lacked	L AE K T
lacking	L AE K IH NG
lackluster	L AE K L AH S T ER
lacks	L AE K S
laconic	L AA K AA N IH K
lacquer	L AE K ER
lacquered	L AE K ER D
lactate	L AE K T EY T
lactating	L AE K T EY T IH NG
lactic	L AE K T IH K
lacy	L EY S IY
ladder	L AE D ER
ladders	L AE D ER Z
lade	L EY D
laden	L EY D AH N
lading	L EY D IH NG
ladle	L EY D AH L
ladled	L EY D AH L D
ladles	L EY D AH L Z
ladling	L EY D L IH NG
ladylike	L EY D IY L AY K
lag	L AE G
laggard	L AE G ER D
lagged	L AE G D
lagging	L AE G IH NG
lags	L AE G Z
laid	L EY D
lain	L EY N
lam	L AE M
lamb	L AE M
lambasting	L AE M B EY S T IH NG
lambing	L AE M IH NG
lambs	L AE M Z
lame	L EY M
lamely	L EY M L IY
lament	L AH M EH N T
lamentable	L AH M EH N T AH B AH L
lamented	L AH M EH N T IH D
lamenting	L AH M EH N T IH NG
laments	L AH M EH N T S
lamer	L EY M ER
laminar	L AE M IH N ER
laminated	L AE M AH N EY T AH D
laminates	L AE M AH N AH T S
laminating	L AE M AH N EY T IH NG
lampoon	L AE M P UW N
lampooned	L AE M P UW N D
lancastrian	L AE NG K AE S T R IY AH N
lance	L AE N S
lanceolate	L AE N S IY AH L EY T
lancing	L AE N S IH NG
land	L AE N D
landes	L AE N D Z
landess	L AE N D AH S
landing	L AE N D IH NG
landings	L AE N D IH NG Z
landless	L AE N D L AH S
landlocked	L AE N D L AA K T
lands	L AE N D Z
landscaped	L AE N D S K EY P T
landward	L AE N D W ER D
languid	L AE NG G W AH D
languish	L AE NG G W IH SH
languished	L AE NG G W IH SH T
languishes	L AE NG G W IH SH IH Z
languishing	L AE NG G W IH SH IH NG
lank	L AE NG K
lanky	L AE NG K IY
lao	L AW
lap	L AE P
lapidary	L AE P AH D EH R IY
lapped	L AE P T
lapping	L AE P IH NG
laps	L AE P S
lapse	L AE P S
lapsed	L AE P S T
lapses	L AE P S IH Z
lapsing	L AE P S IH NG
lard	L AA R D
larded	L AA R D IH D
large	L AA R JH
largely	L AA R JH L IY
larger	L AA R JH ER
largest	L AA R JH AH S T
largo	L AA R G OW
lark	L AA R K
larks	L AA R K S
larned	L AA R N D
larval	L AA R V AH L
laryngeal	L ER IH N JH IY AH L
lascivious	L AH S IH V IY AH S
lash	L AE SH
lashed	L AE SH T
lashes	L AE SH IH Z
lashing	L AE SH IH NG
lashings	L AE SH IH NG Z
lasso	L AE S OW
laster	L AE S T ER
lastest	L AE S T AH S T
lasting	L AE S T IH NG
lastinger	L AE S T IH NG ER
lastingly	L AE S T IH NG L IY
lastly	L AE S T L IY
lasts	L AE S T S
latch	L AE CH
latched	L AE CH T
latching	L AE CH IH NG
late	L EY T
lately	L EY T L IY
latent	L EY T AH N T
later	L EY T ER
lateral	L AE T ER AH L
latest	L EY T AH S T
lather	L AE DH ER
lathers	L AE DH ER Z
latin	L AE T AH N
latinate	L AE T AH N EY T
latitudinal	L AE T AH T UW D AH N AH L
latter	L AE T ER
latvian	L AE T V IY AH N
laud	L AO D
laudable	L AO D AH B AH L
laudatory	L AO D AH T AO R IY
lauded	L AO D IH D
lauding	L AO D IH NG
lauds	L AO D Z
laugh	L AE F
laughable	L AE F AH B AH L
laughed	L AE F T
laughing	L AE F IH NG
laughingly	L AE F IH NG L IY
laughs	L AE F S
launch	L AO N CH
launched	L AO N CH T
launching	L AO N CH IH NG
launchings	L AO N CH IH NG Z
launder	L AO N D ER
laundered	L AO N D ER D
laundering	L AO N D ER IH NG
launders	L AO N D ER Z
laureate	L AO R IY AH T
lave	L EY V
lavender	L AE V AH N D ER
lavish	L AE V IH SH
lavished	L AE V IH SH T
lavishes	L AE V IH SH AH Z
lavishing	L AE V IH SH IH NG
lavishly	L AE V IH SH L IY
lawful	L AO F AH L
lawfully	L AO F AH L IY
lawless	L AO L AH S
lax	L AE K S
laxative	L AE K S AH T IH V
lay	L EY
layer	L EY ER
layered	L EY ER D
layering	L EY ER IH NG
layers	L EY ER Z
laying	L EY IH NG
lays	L EY Z
lazier	L EY Z IY ER
laziest	L EY Z IY AH S T
lazily	L AE Z AH L IY
lazy	L EY Z IY
leach	L IY CH
leached	L IY CH T
leaches	L IY CH IH Z
leaching	L IY CH IH NG
leaded	L EH D IH D
leaden	L EH D AH N
leading	L IY D IH NG
leads	L IY D Z
leaf	L IY F
leafed	L IY F T
leafing	L IY F IH NG
leafless	L IY F L AH S
leaflike	L IY F L AY K
leafs	L IY F S
leafy	L IY F IY
league	L IY G
leagues	L IY G Z
leak	L IY K
leaked	L IY K T
leaking	L IY K IH NG
leaks	L IY K S
leaky	L IY K IY
leal	L IY L
lean	L IY N
leaned	L IY N D
leaner	L IY N ER
leanest	L IY N AH S T
leaning	L IY N IH NG
leanings	L IY N IH NG Z
leans	L IY N Z
leant	L IY AH N T
leap	L IY P
leapfrog	L IY P F R AO G
leapfrogged	L IY P F R AO G D
leapfrogging	L IY P F R AO G IH NG
leaping	L IY P IH NG
leaps	L IY P S
learn	L ER N
learning	L ER N IH NG
learns	L ER N Z
learnt	L ER N T
lease	L IY S
leased	L IY S T
leases	L IY S IH Z
leash	L IY SH
leashed	L IY SH T
leashes	L IY SH IH Z
leasing	L IY S IH NG
least	L IY S T
leather	L EH DH ER
leathers	L EH DH ER Z
leathery	L EH DH ER IY
leave	L IY V
leaven	L EH V AH N
leavened	L EH V AH N D
leavening	L EH V AH N IH NG
leavens	L EH V AH N Z
leaves	L IY V Z
leaving	L IY V IH NG
leavings	L IY V IH NG Z
lebanese	L EH B AH N IY Z
lecherous	L EH CH ER AH S
lecture	L EH K CH ER
lectured	L EH K CH ER D
lectures	L EH K CH ER Z
lecturing	L EH K CH ER IH NG
led	L EH D
lee	L IY
leech	L IY CH
leeches	L IY CH IH Z
leery	L IH R IY
leeward	L IY W ER D
left	L EH F T
leftist	L EH F T IH S T
leftover	L EH F T OW V ER
legal	L IY G AH L
legalize	L IY G AH L AY Z
legalized	L IY G AH L AY Z D
legalizing	L IY G AH L AY Z IH NG
legally	L IY G AH L IY
legato	L AH G AA T OW
legendary	L EH JH AH N D EH R IY
leggy	L EH G IY
legible	L EH JH AH B AH L
legion	L IY JH AH N
legislate	L EH JH IH S L EY T
legislated	L EH JH AH S L EY T AH D
legislates	L EH JH IH S L EY T S
legislating	L EH JH IH S L EY T IH NG
legislative	L EH JH AH S L EY T IH V
legislatively	L EH JH IH S L EY T IH V L IY
legitimate	L AH JH IH T AH M AH T
legitimately	L AH JH IH T AH M AH T L IY
legitimized	L IH JH IH T AH M AY Z D
legitimizes	L IH JH IH T AH M AY Z IH Z
legitimizing	L IH JH IH T AH M AY Z IH NG
legless	L EH G L AH S
leisurely	L IY Z ER L IY
lend	L EH N D
lending	L EH N D IH NG
lendings	L EH N D IH NG Z
lends	L EH N D Z
lengthways	L EH NG TH W EY Z
lengthwise	L EH NG TH W AY Z
lengthy	L EH NG TH IY
leniently	L IY N Y AH N T L IY
lent	L EH N T
lento	L EH N T OW
lesbian	L EH Z B IY AH N
less	L EH S
lessen	L EH S AH N
lessened	L EH S AH N D
lessening	L EH S AH N IH NG
lessens	L EH S AH N Z
lesser	L EH S ER
lest	L EH S T
lester	L EH S T ER
let	L EH T
lethal	L IY TH AH L
lethargic	L AH TH AA R JH IH K
lets	L EH T S
letter	L EH T ER
lettered	L EH T ER D
lettering	L EH T ER IH NG
letters	L EH T ER Z
letting	L EH T IH NG
levant	L AH V AE N T
level	L EH V AH L
leveled	L EH V AH L D
levelled	L EH V AH L D
levels	L EH V AH L Z
levering	L EH V ER IH NG
levers	L EH V ER Z
levied	L EH V IY D
levies	L EH V IY Z
levitate	L EH V IH T EY T
levitated	L EH V IH T EY T IH D
levitating	L EH V AH T EY T IH NG
levying	L EH V IY IH NG
lewd	L UW D
lexical	L EH K S IH K AH L
li	L IY
liable	L AY AH B AH L
libel	L AY B AH L
libeled	L AY B AH L D
libelous	L AY B AH L AH S
liberate	L IH B ER EY T
liberated	L IH B ER EY T IH D
liberating	L IH B ER EY T IH NG
liberian	L AY B IH R IY AH N
libertine	L IH B ER T IY N
libyan	L IH B IY AH N
licence	L AY S AH N S
licences	L AY S AH N S IH Z
license	L AY S AH N S
licensed	L AY S AH N S T
licensees	L AY S AH N S IY Z
licenses	L AY S AH N S IH Z
licensing	L AY S AH N S IH NG
licentious	L AY S EH N CH AH S
lick	L IH K
licked	L IH K T
licking	L IH K IH NG
licks	L IH K S
lie	L AY
lied	L AY D
lief	L IY F
liege	L IY JH
lies	L AY Z
lifeless	L AY F L AH S
lifelike	L AY F L AY K
lifelong	L AY F L AO NG
lift	L IH F T
lifting	L IH F T IH NG
lifts	L IH F T S
light	L AY T
lighten	L AY T AH N
lightened	L AY T AH N D
lightening	L AY T AH N IH NG
lightens	L AY T AH N Z
lighter	L AY T ER
lighters	L AY T ER Z
lightest	L AY T AH S T
lightheaded	L AY T HH EH D AH D
lighthearted	L AY T HH AA R T IH D
lighting	L AY T IH NG
lightly	L AY T L IY
lights	L AY T S
lightweight	L AY T W EY T
likable	L AY K AH B AH L
like	L AY K
likeable	L AY K AH B AH L
liked	L AY K T
likely	L AY K L IY
liken	L AY K AH N
likened	L AY K AH N D
likeness	L AY K N AH S
likenesses	L AY K N AH S IH Z
likening	L AY K AH N IH NG
likens	L AY K AH N Z
likes	L AY K S
likewise	L AY K W AY Z
liking	L AY K IH NG
lilac	L AY L AE K
lilliputian	L IH L AH P Y UW SH AH N
lilt	L IH L T
limbed	L IH M D
limber	L IH M B ER
limbers	L IH M B ER Z
limbless	L IH M L AH S
lime	L AY M
limes	L AY M Z
liming	L AY M IH NG
limit	L IH M AH T
limiting	L IH M AH T IH NG
limitless	L IH M AH T L AH S
limp	L IH M P
limped	L IH M P T
limping	L IH M P IH NG
limps	L IH M P S
line	L AY N
lineal	L IH N IY AH L
linear	L IH N IY ER
linearly	L IH N IY ER L IY
lined	L AY N D
lines	L AY N Z
lingered	L IH NG G ER D
lingers	L IH NG G ER Z
linguistic	L IH NG G W IH S T IH K
linguistically	L IH NG G W IH S T IH K L IY
lining	L AY N IH NG
linings	L AY N IH NG Z
link	L IH NG K
linked	L IH NG K T
linking	L IH NG K IH NG
links	L IH NG K S
lionize	L AY AH N AY Z
lionized	L AY AH N AY Z D
lipped	L IH P T
lipstick	L IH P S T IH K
lipsticks	L IH P S T IH K S
liquefied	L IH K W AH F AY D
liquefy	L IH K W AH F AY
liquidate	L IH K W IH D EY T
liquidated	L IH K W IH D EY T IH D
liquidates	L IH K W IH D EY T S
liquidating	L IH K W IH D EY T IH NG
lisp	L IH S P
list	L IH S T
listen	L IH S AH N
listened	L IH S AH N D
listens	L IH S AH N Z
listing	L IH S T IH NG
listings	L IH S T IH NG Z
listless	L IH S T L AH S
listlessly	L IH S T L AH S L IY
lit	L IH T
lite	L AY T
literal	L IH T ER AH L
literary	L IH T ER EH R IY
literate	L IH T ER AH T
lithe	L AY DH
lithic	L IH TH IH K
lithograph	L IH TH AH G R AE F
lithographic	L IH TH AH G R AE F IH K
lithographs	L IH TH AH G R AE F S
lithuanian	L IH TH AH W EY N IY AH N
litigate	L IH T IH G EY T
litigated	L IH T IH G EY T IH D
litigates	L IH T IH G EY T S
litigating	L IH T IH G EY T IH NG
litter	L IH T ER
littered	L IH T ER D
littering	L IH T ER IH NG
litters	L IH T ER Z
little	L IH T AH L
littlest	L IH T AH L AH S T
littoral	L IH T ER AH L
liturgical	L AH T ER JH IH K AH L
liv	L IH V
livable	L IH V AH B AH L
livelier	L AY V L IY ER
liveliest	L AY V L IY AH S T
lively	L AY V L IY
liven	L AY V AH N
livened	L AY V AH N D
liver	L IH V ER
liveried	L IH V R IY D
livery	L IH V ER IY
livid	L IH V IH D
living	L IH V IH NG
livings	L IH V IH NG Z
load	L OW D
loading	L OW D IH NG
loadings	L OW D IH NG Z
loads	L OW D Z
loaf	L OW F
loafs	L OW F S
loamy	L OW M IY
loan	L OW N
loaned	L OW N D
loaning	L OW N IH NG
loans	L OW N Z
loath	L OW TH
loathe	L OW DH
loathed	L OW DH D
loathing	L OW TH IH NG
lob	L AA B
lobbed	L AA B D
lobbied	L AA B IY D
lobbies	L AA B IY Z
lobbing	L AA B IH NG
lobby	L AA B IY
lobbying	L AA B IY IH NG
lobed	L OW B D
lobes	L OW B Z
lobs	L AA B Z
local	L OW K AH L
localize	L OW K AH L AY Z
localized	L OW K AH L AY Z D
locally	L OW K AH L IY
locate	L OW K EY T
locates	L OW K EY T S
locating	L OW K EY T IH NG
lock	L AA K
locked	L AA K T
locking	L AA K IH NG
locks	L AA K S
loco	L OW K OW
locomotive	L OW K AH M OW T IH V
locomotor	L OW K AH M OW T ER
lodge	L AA JH
lodged	L AA JH D
lodging	L AA JH IH NG
lodgings	L AA JH IH NG Z
loft	L AO F T
loftier	L AO F T IY ER
lofts	L AO F T S
lofty	L AO F T IY
log	L AO G
logarithmic	L AA G ER IH DH M IH K
loges	L OW JH IH Z
logged	L AO G D
logging	L AO G IH NG
logical	L AA JH IH K AH L
logically	L AA JH IH K L IY
logistic	L AH JH IH S T IH K
logistical	L AH JH IH S T IH K AH L
logographic	L AO G AH G R AE F IH K
logs	L AO G Z
loiter	L OY T ER
loitering	L OY T ER IH NG
loll	L AA L
lolling	L AA L IH NG
lone	L OW N
lonely	L OW N L IY
lonesome	L OW N S AH M
long	L AO NG
longed	L AO NG D
longer	L AO NG G ER
longhand	L AO NG HH AE N D
longing	L AO NG IH NG
longingly	L AO NG IH NG L IY
longings	L AO NG IH NG Z
longish	L AO NG IH SH
longitudinal	L AA N JH AH T UW D AH N AH L
longs	L AO NG Z
longstanding	L AO NG S T AE N D IH NG
longtime	L AO NG T AY M
look	L UH K
looked	L UH K T
looking	L UH K IH NG
looks	L UH K S
loom	L UW M
loomed	L UW M D
looming	L UW M IH NG
looms	L UW M Z
loony	L UW N IY
loop	L UW P
looped	L UW P T
looping	L UW P IH NG
loops	L UW P S
loopy	L UW P IY
loose	L UW S
loosed	L UW S T
loosely	L UW S L IY
loosen	L UW S AH N
loosened	L UW S AH N D
loosening	L UW S AH N IH NG
loosens	L UW S AH N Z
looser	L UW S ER
looses	L UW S IH Z
loosing	L UW S IH NG
loot	L UW T
looting	L UW T IH NG
lop	L AA P
lope	L OW P
lopes	L OW P S
lopped	L AA P T
lopping	L AA P IH NG
lopsided	L AA P S AY D IH D
loquacious	L OW K W EY SH AH S
lord	L AO R D
lords	L AO R D Z
lose	L UW Z
losing	L UW Z IH NG
lost	L AO S T
loth	L AA TH
lots	L AA T S
loud	L AW D
louden	L AW D AH N
louder	L AW D ER
loudest	L AW D AH S T
loudly	L AW D L IY
lounge	L AW N JH
lounges	L AW N JH IH Z
lounging	L AW N JH IH NG
lour	L AW R
lousy	L AW Z IY
lovable	L AH V AH B AH L
love	L AH V
loved	L AH V D
loveless	L AH V L AH S
lovely	L AH V L IY
loves	L AH V Z
loving	L AH V IH NG
lovinger	L AH V IH NG ER
lovingly	L AH V IH NG L IY
lovings	L AH V IH NG Z
low	L OW
lowborn	L OW B AO R N
lower	L OW ER
lowered	L OW ER D
lowering	L OW ER IH NG
lowers	L OW ER Z
lowes	L OW Z
lowest	L OW AH S T
lowing	L OW IH NG
lowland	L OW L AE N D
lowly	L OW L IY
lows	L OW Z
loyal	L OY AH L
loyally	L OY AH L IY
lube	L UW B
lubricate	L UW B R IH K EY T
lubricated	L UW B R AH K EY T IH D
lubricating	L UW B R AH K EY T IH NG
lucent	L UW S IH N T
lucid	L UW S AH D
luckier	L AH K IY ER
luckiest	L AH K IY AH S T
luckily	L AH K AH L IY
luckless	L AH K L AH S
lucky	L AH K IY
lucrative	L UW K R AH T IH V
ludicrous	L UW D AH K R AH S
ludicrously	L UW D AH K R AH S L IY
luff	L AH F
luffed	L AH F T
lug	L AH G
luge	L UW JH
lugging	L AH G IH NG
lugs	L AH G Z
lugubrious	L UW G Y UW B R IY AH S
lukewarm	L UW K W AO R M
lull	L AH L
lulled	L AH L D
lulling	L AH L IH NG
lulls	L AH L Z
lumbar	L AH M B AA R
lumber	L AH M B ER
lumbering	L AH M B ER IH NG
luminescent	L UW M AH N EH S AH N T
luminous	L UW M AH N AH S
lump	L AH M P
lumped	L AH M P T
lumping	L AH M P IH NG
lumps	L AH M P S
lumpy	L AH M P IY
lunar	L UW N ER
lunatic	L UW N AH T IH K
lunch	L AH N CH
lunched	L AH N CH T
lunches	L AH N CH IH Z
lunching	L AH N CH IH NG
lunge	L AH N JH
lunged	L AH N JH D
lunges	L AH N JH IH Z
lunging	L AH N JH IH NG
lupine	L UW P AY N
lurch	L ER CH
lurched	L ER CH T
lurches	L ER CH IH Z
lurching	L ER CH IH NG
lure	L UH R
lured	L UH R D
lures	L UH R Z
lurid	L UH R AH D
luring	L UH R IH NG
lurk	L ER K
lurked	L ER K T
lurking	L ER K IH NG
lurks	L ER K S
luscious	L AH SH IH S
lush	L AH SH
lusher	L AH SH ER
lust	L AH S T
lusted	L AH S T IH D
lustful	L AH S T F AH L
lusting	L AH S T IH NG
lustrous	L AH S T R AH S
lusty	L AH S T IY
lutheran	L UW TH ER AH N
luxuriant	L AH G ZH ER IY AH N T
luxurious	L AH G ZH ER IY AH S
lying	L AY IH NG
lymphatic	L IH M F AE T IH K
lynch	L IH N CH
lynched	L IH N CH T
lynching	L IH N CH IH NG
lynchings	L IH N CH IH NG Z
lyonnaise	L AY AH N EY Z
lyric	L IH R IH K
lyrical	L IH R IH K AH L
lyrically	L IH R IH K L IY
lyrics	L IH R IH K S
m	EH M
machine	M AH SH IY N
machined	M AH SH IY N D
machines	M AH SH IY N Z
